a.alt,b.alt,,Clones,,,,,,,
DD1_01A,DD1_02A,,DD1_01A,DD1_02A,,,,,,
DD3_08A,DD3_09A,,DD3_08A,DD3_09A,DD3_15A,,,,,
DD3_08A,DD3_15A,,DS1_02A,DS1_04A,DS1_05A,DS1_07A,DS1_05A,DS1_07A,DS1_07A,DS2_13A
DD3_09A,DD3_15A,,,,,,,,,
DS1_02A,DS1_04A,,DS2_05A,DS2_06A,DS2_07A,DS2_09A,DS2_15A,DS2_08A,DS2_15A,
DS1_02A,DS1_05A,,,,,,,,,
DS1_02A,DS1_07A,,,,,,,,,
DS1_04A,DS1_05A,,,,,,,,,
DS1_04A,DS1_07A,,,,,,,,,
DS1_05A,DS1_07A,,,,,,,,,
DS2_02A,DS2_13A,,,,,,,,,
DS2_05A,DS2_06A,,,,,,,,,
DS2_05A,DS2_07A,,,,,,,,,
DS2_05A,DS2_08A,,,,,,,,,
DS2_05A,DS2_09A,,,,,,,,,
DS2_05A,DS2_15A,,,,,,,,,
DS2_06A,DS2_07A,,,,,,,,,
DS2_06A,DS2_08A,,,,,,,,,
DS2_06A,DS2_09A,,,,,,,,,
DS2_06A,DS2_15A,,,,,,,,,
DS2_07A,DS2_08A,,,,,,,,,
DS2_07A,DS2_09A,,,,,,,,,
DS2_07A,DS2_15A,,,,,,,,,
DS2_08A,DS2_09A,,,,,,,,,
DS2_08A,DS2_15A,,,,,,,,,
DS2_09A,DS2_15A,,,,,,,,,
DS2_12A,DS2_14A,,,,,,,,,
DS3_03A,DS3_04A,,,,,,,,,
LD1_01A,LD1_02A,,,,,,,,,
LD1_01A,LD1_12A,,,,,,,,,
LD1_02A,LD1_12A,,,,,,,,,
LD1_05A,LD1_14A,,,,,,,,,
LD1_07A,LD1_08A,,,,,,,,,
LD1_10A,LD1_11A,,,,,,,,,
LD2_04A,LD2_05A,,,,,,,,,
LD2_07A,LD2_08A,,,,,,,,,
LD2_09A,LD2_11A,,,,,,,,,
LD2_09A,LD2_13A,,,,,,,,,
LD2_09A,LD2_15A,,,,,,,,,
LD2_11A,LD2_13A,,,,,,,,,
LD2_11A,LD2_15A,,,,,,,,,
LD2_13A,LD2_15A,,,,,,,,,
LD3_06A,LD3_07A,,,,,,,,,
LD3_08A,LD3_09A,,,,,,,,,
LS1_01A,LS1_02A,,,,,,,,,
LS1_01A,LS1_13A,,,,,,,,,
LS1_02A,LS1_13A,,,,,,,,,
LS1_07A,LS1_08A,,,,,,,,,
LS1_07A,LS1_09A,,,,,,,,,
LS1_08A,LS1_09A,,,,,,,,,
LS2_06A,LS2_07A,,,,,,,,,
LS2_06A,LS2_08A,,,,,,,,,
LS2_07A,LS2_08A,,,,,,,,,
LS3_03A,LS3_13A,,,,,,,,,
LS3_09A,LS3_10A,,,,,,,,,
LS3_11A,LS3_14A,,,,,,,,,
ND1_01A,ND1_03A,,,,,,,,,
ND3_01A,ND3_03A,,,,,,,,,
ND3_03A,ND3_04A,,,,,,,,,
ND3_05A,ND3_14A,,,,,,,,,
NS2_06A,NS2_07A,,,,,,,,,
NS3_01A,NS3_15A,,,,,,,,,
WS2_01A,WS2_11A,,,,,,,,,
WS2_01A,WS2_12A,,,,,,,,,
WS2_07A,WS2_15A,,,,,,,,,
WS2_11A,WS2_12A,,,,,,,,,
WS3_03A,WS3_04A,,,,,,,,,
WS3_03A,WS3_05A,,,,,,,,,
WS3_03A,WS3_13A,,,,,,,,,
WS3_04A,WS3_05A,,,,,,,,,
WS3_04A,WS3_13A,,,,,,,,,
WS3_05A,WS3_13A,,,,,,,,,
WS3_06A,WS3_07A,,,,,,,,,
WS3_11A,WS3_12A,,,,,,,,,