Date,Month,Site,Depth,Permanent Quadrat,Transect Meter Mark,Cattle Tag,Vegetative Density,Flowering Density,Total Density
6/26/2019,June,DC,SH,3,,5,18,1,19
6/26/2019,June,DC,SH,3,,17,19,5,24
6/26/2019,June,DC,SH,3,,31,30,0,30
6/26/2019,June,DC,SH,3,,28,18,9,27
6/26/2019,June,DC,SH,3,,18,18,3,21
6/26/2019,June,DC,SH,3,,13,25,3,28
6/26/2019,June,DC,SH,3,,34,33,0,33
6/26/2019,June,DC,SH,1,,3,18,4,22
6/26/2019,June,DC,SH,1,,14,30,2,32
6/26/2019,June,DC,SH,1,,73,29,0,29
6/26/2019,June,DC,SH,1,,72,11,0,11
6/26/2019,June,DC,SH,1,,8,15,0,15
6/26/2019,June,DC,SH,1,,12,28,0,28
6/26/2019,June,DC,SH,1,,47,26,2,28
6/26/2019,June,DC,SH,2,,70,19,5,24
6/26/2019,June,DC,SH,2,,66,18,3,21
6/26/2019,June,DC,SH,2,,74,25,5,30
6/26/2019,June,DC,SH,2,,59,33,9,42
6/26/2019,June,DC,SH,2,,44,36,1,37
6/26/2019,June,DC,SH,2,,67,29,8,37
6/26/2019,June,DC,SH,2,,57,26,3,29
6/26/2019,June,DC,DP,3,,10,4,0,4
6/26/2019,June,DC,DP,3,,11,2,0,2
6/26/2019,June,DC,DP,3,,7,5,0,5
6/26/2019,June,DC,DP,3,,19,5,0,5
6/26/2019,June,DC,DP,3,,16,7,0,7
6/26/2019,June,DC,DP,3,,15,4,0,4
6/26/2019,June,DC,DP,3,,20,7,1,8
6/26/2019,June,DC,DP,2,,51,6,0,6
6/26/2019,June,DC,DP,2,,43,3,3,6
6/26/2019,June,DC,DP,2,,46,6,1,7
6/26/2019,June,DC,DP,2,,48,3,1,4
6/26/2019,June,DC,DP,2,,68,3,1,4
6/26/2019,June,DC,DP,1,,64,5,0,5
6/26/2019,June,DC,DP,1,,30,10,0,10
6/26/2019,June,DC,DP,1,,41,6,0,6
6/26/2019,June,DC,DP,1,,37,12,0,12
6/26/2019,June,DC,DP,2,,52,5,0,5
6/26/2019,June,DC,DP,2,,61,6,0,6
6/27/2019,June,WB,SH,3,,31,35,5,40
6/27/2019,June,WB,SH,1,,43,21,3,24
6/27/2019,June,WB,SH,1,,52,30,8,38
6/27/2019,June,WB,SH,1,,26,26,3,29
6/27/2019,June,WB,SH,2,,41,54,4,58
6/27/2019,June,WB,SH,2,,64,51,1,52
6/27/2019,June,WB,SH,2,,30,49,1,50
6/27/2019,June,WB,SH,2,,13,48,5,53
6/27/2019,June,WB,SH,2,,38,44,1,45
6/27/2019,June,WB,SH,2,,25,39,1,40
6/27/2019,June,WB,SH,2,,17,42,5,47
6/27/2019,June,WB,SH,3,,74,41,3,44
6/27/2019,June,WB,SH,3,,72,30,3,33
6/27/2019,June,WB,SH,3,,34,25,0,25
6/27/2019,June,WB,SH,3,,20,39,6,45
6/27/2019,June,WB,SH,1,,61,16,1,17
6/27/2019,June,WB,SH,1,,46,42,3,45
6/27/2019,June,WB,SH,1,,51,9,0,9
6/27/2019,June,WB,SH,1,,68,35,4,39
6/27/2019,June,WB,SH,3,,73,34,6,40
6/27/2019,June,WB,SH,3,,66,24,3,27
6/27/2019,June,WB,DP,1,,11,8,0,8
6/27/2019,June,WB,DP,1,,16,5,0,5
6/27/2019,June,WB,DP,1,,14,2,0,2
6/27/2019,June,WB,DP,1,,28,0,0,0
6/27/2019,June,WB,DP,1,,5,5,0,5
6/27/2019,June,WB,DP,1,,7,3,0,3
6/27/2019,June,WB,DP,1,,15,2,0,2
6/27/2019,June,WB,DP,2,,12,8,0,8
6/27/2019,June,WB,DP,2,,59,7,0,7
6/27/2019,June,WB,DP,2,,44,11,0,11
6/27/2019,June,WB,DP,2,,47,12,2,14
6/27/2019,June,WB,DP,2,,37,5,0,5
6/27/2019,June,WB,DP,2,,8,7,0,7
6/27/2019,June,WB,DP,2,,19,8,0,8
6/27/2019,June,WB,DP,3,,67,11,0,11
6/27/2019,June,WB,DP,3,,57,10,1,11
6/27/2019,June,WB,DP,3,,3,8,2,10
6/27/2019,June,WB,DP,3,,70,10,1,11
6/27/2019,June,WB,DP,3,,18,12,0,12
6/27/2019,June,WB,DP,3,,10,11,0,11
6/27/2019,June,WB,DP,3,,35,6,0,6
6/28/2019,June,NB,SH,1,,10,39,3,42
6/28/2019,June,NB,SH,1,,35,29,8,37
6/28/2019,June,NB,SH,1,,3,42,1,43
6/28/2019,June,NB,SH,1,,70,60,4,64
6/28/2019,June,NB,SH,3,,61,19,0,19
6/28/2019,June,NB,SH,3,,66,24,0,24
6/28/2019,June,NB,SH,3,,73,21,0,21
6/28/2019,June,NB,SH,3,,15,34,2,36
6/28/2019,June,NB,SH,2,,30,60,7,67
6/28/2019,June,NB,SH,2,,31,31,1,32
6/28/2019,June,NB,SH,2,,43,47,4,51
6/28/2019,June,NB,SH,2,,26,49,1,50
6/28/2019,June,NB,SH,1,,57,22,3,25
6/28/2019,June,NB,SH,3,,47,34,1,35
6/28/2019,June,NB,SH,2,,52,32,3,35
6/28/2019,June,NB,DP,3,,38,2,0,2
6/28/2019,June,NB,DP,3,,17,7,1,8
6/28/2019,June,NB,DP,2,,8,10,2,12
6/28/2019,June,NB,DP,2,,28,7,0,7
6/28/2019,June,NB,DP,1,,20,2,0,2
6/28/2019,June,NB,DP,1,,5,2,0,2
6/28/2019,June,NB,DP,1,,7,4,2,6
6/28/2019,June,NB,DP,1,,16,5,0,5
6/28/2019,June,NB,DP,1,,14,1,0,1
6/28/2019,June,NB,DP,3,,13,9,1,10
6/28/2019,June,NB,DP,3,,25,4,0,4
6/28/2019,June,NB,DP,3,,34,9,0,9
6/28/2019,June,NB,DP,2,,44,8,0,8
6/28/2019,June,NB,DP,2,,19,8,0,8
6/28/2019,June,NB,DP,2,,12,4,0,4
7/1/2019,June,LP,SH,1,,12,43,2,45
7/1/2019,June,LP,SH,1,,8,48,1,49
7/1/2019,June,LP,SH,1,,17,39,1,40
7/1/2019,June,LP,SH,2,,13,26,2,28
7/1/2019,June,LP,SH,2,,28,21,0,21
7/1/2019,June,LP,SH,3,,35,40,2,42
7/1/2019,June,LP,SH,3,,3,34,0,34
7/1/2019,June,LP,SH,3,,66,30,0,30
7/1/2019,June,LP,SH,1,,7,34,1,35
7/1/2019,June,LP,SH,1,,38,33,1,34
7/1/2019,June,LP,SH,2,,5,22,2,24
7/1/2019,June,LP,SH,2,,16,29,2,31
7/1/2019,June,LP,SH,2,,14,15,0,15
7/1/2019,June,LP,SH,3,,61,34,2,36
7/1/2019,June,LP,SH,3,,47,50,3,53
7/1/2019,June,LP,DP,2,,57,9,1,10
7/1/2019,June,LP,DP,2,,70,2,0,2
7/1/2019,June,LP,DP,2,,31,2,0,2
7/1/2019,June,LP,DP,2,,73,3,0,3
7/1/2019,June,LP,DP,2,,30,4,0,4
7/1/2019,June,LP,DP,1,,20,7,1,8
7/1/2019,June,LP,DP,1,,25,3,0,3
7/1/2019,June,LP,DP,3,,15,5,3,8
7/1/2019,June,LP,DP,3,,43,12,0,12
7/1/2019,June,LP,DP,3,,52,6,1,7
7/1/2019,June,LP,DP,3,,10,2,1,3
7/1/2019,June,LP,DP,3,,26,12,0,12
7/1/2019,June,LP,DP,1,,34,2,0,2
7/1/2019,June,LP,DP,1,,19,2,0,2
7/1/2019,June,LP,DP,1,,44,6,0,6
8/12/2019,August,DC,SH,NA,2,,23,3,26
8/12/2019,August,DC,SH,NA,4,,9,2,11
8/12/2019,August,DC,SH,NA,6,,16,3,19
8/12/2019,August,DC,SH,NA,8,,22,3,25
8/12/2019,August,DC,SH,NA,10,,22,1,23
8/12/2019,August,DC,SH,NA,12,,14,1,15
8/12/2019,August,DC,SH,NA,14,,26,0,26
8/12/2019,August,DC,SH,NA,16,,12,1,13
8/12/2019,August,DC,SH,NA,18,,20,4,24
8/12/2019,August,DC,SH,NA,20,,13,4,17
8/12/2019,August,DC,SH,NA,22,,20,0,20
8/12/2019,August,DC,SH,NA,24,,10,4,14
8/12/2019,August,DC,SH,NA,28,,8,2,10
8/12/2019,August,DC,DP,NA,0,,5,1,6
8/12/2019,August,DC,DP,NA,2,,2,0,2
8/12/2019,August,DC,DP,NA,4,,9,1,10
8/12/2019,August,DC,DP,NA,6,,0,2,2
8/12/2019,August,DC,DP,NA,8,,0,0,0
8/12/2019,August,DC,DP,NA,10,,5,1,6
8/12/2019,August,DC,DP,NA,12,,5,0,5
8/12/2019,August,DC,DP,NA,14,,9,0,9
8/12/2019,August,DC,DP,NA,16,,4,0,4
8/12/2019,August,DC,DP,NA,18,,5,1,6
8/12/2019,August,DC,DP,NA,20,,3,1,4
8/12/2019,August,DC,DP,NA,24,,6,1,7
8/12/2019,August,DC,DP,NA,28,,6,0,6
8/14/2019,August,NB,SH,NA,2,,25,1,26
8/14/2019,August,NB,SH,NA,4,,20,1,21
8/14/2019,August,NB,SH,NA,6,,27,1,28
8/14/2019,August,NB,SH,NA,8,,24,0,24
8/14/2019,August,NB,SH,NA,10,,23,2,25
8/14/2019,August,NB,SH,NA,12,,28,0,28
8/14/2019,August,NB,SH,NA,14,,43,5,48
8/14/2019,August,NB,SH,NA,16,,39,2,41
8/14/2019,August,NB,SH,NA,18,,38,1,39
8/14/2019,August,NB,SH,NA,20,,43,1,44
8/14/2019,August,NB,SH,NA,22,,32,1,33
8/14/2019,August,NB,SH,NA,24,,55,3,58
8/14/2019,August,NB,SH,NA,26,,52,2,54
8/14/2019,August,NB,SH,NA,28,,60,0,60
8/14/2019,August,NB,SH,NA,30,,43,1,44
8/14/2019,August,NB,DP,NA,2,,3,0,3
8/14/2019,August,NB,DP,NA,4,,3,0,3
8/14/2019,August,NB,DP,NA,6,,2,0,2
8/14/2019,August,NB,DP,NA,8,,6,0,6
8/14/2019,August,NB,DP,NA,10,,6,0,6
8/14/2019,August,NB,DP,NA,12,,15,0,15
8/14/2019,August,NB,DP,NA,14,,8,0,8
8/14/2019,August,NB,DP,NA,16,,6,0,6
8/14/2019,August,NB,DP,NA,18,,6,0,6
8/14/2019,August,NB,DP,NA,20,,18,0,18
8/14/2019,August,NB,DP,NA,22,,7,0,7
8/14/2019,August,NB,DP,NA,24,,8,0,8
8/14/2019,August,NB,DP,NA,26,,11,0,11
8/14/2019,August,NB,DP,NA,28,,8,1,9
8/14/2019,August,NB,DP,NA,30,,8,1,9
8/14/2019,August,NB,DP,NA,32,,5,2,7
8/14/2019,August,NB,DP,NA,34,,16,1,17
8/14/2019,August,NB,DP,NA,36,,19,2,21
8/15/2019,August,LP,SH,NA,2,,16,0,16
8/15/2019,August,LP,SH,NA,4,,18,1,19
8/15/2019,August,LP,SH,NA,6,,24,1,25
8/15/2019,August,LP,SH,NA,8,,19,1,20
8/15/2019,August,LP,SH,NA,10,,0,0,0
8/15/2019,August,LP,SH,NA,12,,29,1,30
8/15/2019,August,LP,SH,NA,14,,20,1,21
8/15/2019,August,LP,SH,NA,16,,36,1,37
8/15/2019,August,LP,SH,NA,18,,11,0,11
8/15/2019,August,LP,SH,NA,20,,22,0,22
8/15/2019,August,LP,SH,NA,22,,25,0,25
8/15/2019,August,LP,SH,NA,24,,6,1,7
8/15/2019,August,LP,SH,NA,26,,10,1,11
8/15/2019,August,LP,SH,NA,28,,17,1,18
8/15/2019,August,LP,SH,NA,30,,11,1,12
8/15/2019,August,LP,SH,NA,32,,17,1,18
8/15/2019,August,LP,DP,NA,2,,12,1,13
8/15/2019,August,LP,DP,NA,4,,7,1,8
8/15/2019,August,LP,DP,NA,6,,4,2,6
8/15/2019,August,LP,DP,NA,8,,9,1,10
8/15/2019,August,LP,DP,NA,10,,17,1,18
8/15/2019,August,LP,DP,NA,12,,15,2,17
8/15/2019,August,LP,DP,NA,14,,6,2,8
8/15/2019,August,LP,DP,NA,16,,12,4,16
8/15/2019,August,LP,DP,NA,18,,9,1,10
8/15/2019,August,LP,DP,NA,20,,9,0,9
8/15/2019,August,LP,DP,NA,22,,3,0,3
8/15/2019,August,LP,DP,NA,24,,13,0,13
8/15/2019,August,LP,DP,NA,26,,12,2,14
8/15/2019,August,LP,DP,NA,28,,19,3,22
8/15/2019,August,LP,DP,NA,30,,4,1,5
8/16/2019,August,WB,SH,NA,2,,18,1,19
8/16/2019,August,WB,SH,NA,4,,24,0,24
8/16/2019,August,WB,SH,NA,6,,12,3,15
8/16/2019,August,WB,SH,NA,8,,20,4,24
8/16/2019,August,WB,SH,NA,10,,25,0,25
8/16/2019,August,WB,SH,NA,12,,26,0,26
8/16/2019,August,WB,SH,NA,14,,20,1,21
8/16/2019,August,WB,SH,NA,16,,29,1,30
8/16/2019,August,WB,SH,NA,18,,14,0,14
8/16/2019,August,WB,SH,NA,20,,8,1,9
8/16/2019,August,WB,SH,NA,22,,27,2,29
8/16/2019,August,WB,SH,NA,24,,0,0,0
8/16/2019,August,WB,SH,NA,26,,17,0,17
8/16/2019,August,WB,SH,NA,28,,12,0,12
8/16/2019,August,WB,SH,NA,30,,6,0,6
8/16/2019,August,WB,SH,NA,32,,21,0,21
8/16/2019,August,WB,DP,NA,2,,9,0,9
8/16/2019,August,WB,DP,NA,4,,12,3,15
8/16/2019,August,WB,DP,NA,6,,0,0,0
8/16/2019,August,WB,DP,NA,8,,13,1,14
8/16/2019,August,WB,DP,NA,10,,5,1,6
8/16/2019,August,WB,DP,NA,12,,7,0,7
8/16/2019,August,WB,DP,NA,14,,5,0,5
8/16/2019,August,WB,DP,NA,16,,9,1,10
8/16/2019,August,WB,DP,NA,18,,7,0,7
8/16/2019,August,WB,DP,NA,20,,8,2,10
8/16/2019,August,WB,DP,NA,22,,10,0,10
8/16/2019,August,WB,DP,NA,24,,9,0,9
8/16/2019,August,WB,DP,NA,26,,8,0,8
8/16/2019,August,WB,DP,NA,28,,14,0,14
8/16/2019,August,WB,DP,NA,30,,8,1,9
8/16/2019,August,WB,DP,NA,32,,4,2,6
8/16/2019,August,WB,DP,NA,34,,6,2,8